Year,Place,Title,Artist,Featuring,Title_url,Released,Genre 1,Genre 2,Genre 3,Length,Label,Total Labels,Writer 1,Writer 2,Youtube
2019,79,Knockin' Boots,Luke Bryan,,/wiki/Knockin%27_Boots_(Luke_Bryan_song),2019,Country,,,3:19,Capitol Nashville,1,Jon Nite,Hillary Lindsey,
2019,80,Trip,Ella Mai,,/wiki/Trip_(Ella_Mai_song),2018,R&b,,,3:37,Interscope,1,Ella Mai Howell,Varren Wade,https://www.youtube.com/watch?v=W16bk86xIY0
2019,81,Rumor,Lee Brice,,/wiki/Rumor_(Lee_Brice_song),2018,Country,,,3:19,Curb,1,Lee Brice,Ashley Gorley,
2019,82,Swervin,A Boogie wit da Hoodie,6ix9ine,/wiki/Swervin,2019,Pop-rap,,,3:08,Atlantic,1,Artist Julius Dubose,Aubrey Robinson,https://www.youtube.com/watch?v=v-rxFHRTrJc
2019,83,How Do You Sleep?,Sam Smith,,/wiki/How_Do_You_Sleep%3F_(Sam_Smith_song),2019,Pop,Dance-pop,,3:22,Capitol,1,Sam Smith,Savan Kotecha,https://www.youtube.com/watch?v=PmYypVozQb4
2019,84,Baby,Lil Baby,DaBaby,"/wiki/Baby_(Quality_Control,_Lil_Baby_and_DaBaby_song)",2019,Trap,,,2:22,Quality Control,3,Dominique Jones,Jonathan Kirk,https://www.youtube.com/watch?v=0GbwYFqN1iE
2019,85,Look What God Gave Her,Thomas Rhett,,/wiki/Look_What_God_Gave_Her,2019,Country pop,,,2:48,Valory,1,Thomas Rhett,Rhett Akins,
2019,86,Good as You,Kane Brown,,/wiki/Good_as_You,2019,Country,R&b,,3:12,RCA Nashville,1,Kane Brown,Brock Berryhill,
2019,87,Clout,Offset,Cardi B,/wiki/Clout_(Offset_song),2019,,,,3:25,Quality Control,3,Kiari Cephus,Belcalis Almanzar,https://www.youtube.com/watch?v=mt2zvsvkKKo
2019,88,Love Lies,Khalid,Normani,/wiki/Love_Lies_(song),2018,R&b,,,3:21,RCA,1,Khalid Robinson,Normani Kordei Hamilton,https://www.youtube.com/watch?v=xYtsL9znopI
2019,89,One Thing Right,Marshmello,Kane Brown,/wiki/One_Thing_Right,2019,Edm,Country pop,Pop punk,3:01,RCA Nashville,1,Marshmello,Kane Brown,https://www.youtube.com/watch?v=29a6o5vRKVM
2019,90,Cash Shit,Megan Thee Stallion,DaBaby,/wiki/Cash_Shit,2019,Hip hop,,,3:12,300,1,Megan Pete,Jonathan Kirk,
2019,91,Tequila,Dan + Shay,,/wiki/Tequila_(Dan_%2B_Shay_song),2018,Country pop,,,3:16,Warner Bros. Nashville,1,Dan Smyers,Nicolle Galyon,
2019,92,Shotta Flow,NLE Choppa,,/wiki/Shotta_Flow,2019,Trap,,,2:40,UnitedMasters,1,Bryson Potts,Donald Bailey Jr.,https://www.youtube.com/watch?v=3W0e7aI0gAg
2019,93,Hot Girl Summer,Megan Thee Stallion,Nicki Minaj,/wiki/Hot_Girl_Summer_(Megan_Thee_Stallion_song),2019,Hip hop,,,3:19,300,1,,,https://www.youtube.com/watch?v=FbcLcSY2au4
2019,94,Talk You Out of It,Florida Georgia Line,,/wiki/Talk_You_Out_of_It,2018,Country,,,3:22,BLMG,1,Hardy,Hunter Phelps,https://www.youtube.com/watch?v=L22OzGY4wrw
2019,95,Beautiful,Bazzi,Camila Cabello,/wiki/Beautiful_(Bazzi_song),2017,Pop,R&b,,2:58,Atlantic,1,Andrew Bazzi,Kevin Clark White,https://www.youtube.com/watch?v=-bx_vG94LSo
2019,96,Eyes on You,Chase Rice,,/wiki/Eyes_on_You_(Chase_Rice_song),2018,Country,,,3:02,Broken Bow,1,Chris DeStefano,Ashley Gorley,
2019,97,All to Myself,Dan + Shay,,/wiki/All_to_Myself_(Dan_%2B_Shay_song),2019,Country pop,,,2:49,Warner Nashville,1,Dan Smyers,Shay Mooney,
2019,98,Boyfriend,Ariana Grande,Social House,/wiki/Boyfriend_(Ariana_Grande_and_Social_House_song),2019,Pop,R&b,,3:06,Republic,1,Ariana Grande,Charles Anderson,https://www.youtube.com/watch?v=9SRxBTtspYM
2019,99,Walk Me Home,Pink,,/wiki/Walk_Me_Home_(Pink_song),2019,Pop,,,2:58,RCA,1,Alecia Moore,Scott Friedman,https://www.youtube.com/watch?v=J1OsKJW51HY
2019,100,Robbery,Juice Wrld,,/wiki/Robbery_(Juice_Wrld_song),2019,Emo rap,Trap,,4:00,Interscope,1,Jarad Higgins,Nick Mira,https://www.youtube.com/watch?v=iI34LYmJ1Fs
2020,1,Blinding Lights,The Weeknd,,/wiki/Blinding_Lights,2019,Synth-pop,New wave,,3:21,XO,2,Abel Tesfaye,Ahmad Balshe,https://www.youtube.com/watch?v=4NRXx6U8ABQ
2020,2,Circles,Post Malone,,/wiki/Circles_(Post_Malone_song),2019,Pop rock,Soft rock,Downtempo,3:35,Republic,1,Austin Post,Louis Bell,https://www.youtube.com/watch?v=wXhTHyIgQ_U
2020,3,The Box,Roddy Ricch,,/wiki/The_Box_(Roddy_Ricch_song),2019,Hip hop,Trap,,3:16,Atlantic,1,Rodrick Moore Jr.,Samuel Gloade,https://www.youtube.com/watch?v=UNZqm3dxd2w
2020,4,Don't Start Now,Dua Lipa,,/wiki/Don%27t_Start_Now,2019,Nu-disco,,,3:03,Warner,1,Dua Lipa,Caroline Ailin,https://www.youtube.com/watch?v=oygrmJFKYZY
2020,5,Rockstar,DaBaby,Roddy Ricch,/wiki/Rockstar_(DaBaby_song),2020,Pop-rap,Trap,,3:01,Interscope,1,Jonathan Kirk,Rodrick Moore Jr.,https://www.youtube.com/watch?v=mxFstYSbBmc
2020,6,Adore You,Harry Styles,,/wiki/Adore_You_(Harry_Styles_song),2019,Funk,Disco,Pop rock,3:27,Columbia,1,Harry Styles,Amy Allen,https://www.youtube.com/watch?v=yezDEWako8U
2020,7,Life Is Good,Future,Drake,/wiki/Life_Is_Good_(song),2020,Trap,,,3:57,Epic,2,Nayvadius Wilburn,Aubrey Graham,https://www.youtube.com/watch?v=l0U7SxXHkPY
2020,8,Memories,Maroon 5,,/wiki/Memories_(Maroon_5_song),2019,Reggae pop,,,3:09,222,2,Adam Levine,Jonathan Bellion,https://www.youtube.com/watch?v=SlPhMPnQ58k
2020,9,The Bones,Maren Morris,,/wiki/The_Bones_(song),2019,Pop,Country,,3:17,Columbia Nashville,1,Maren Morris,Jimmy Robbins,https://www.youtube.com/watch?v=gvPMVKUI9go
2020,10,Someone You Loved,Lewis Capaldi,,/wiki/Someone_You_Loved,2018,,,,3:02,Vertigo,2,Lewis Capaldi,Samuel Romans,https://www.youtube.com/watch?v=zABLecsR5UE
2020,11,Say So,Doja Cat,,/wiki/Say_So,2020,Pop,Disco,Pop-rap,3:58,Kemosabe,2,Amala Dlamini,Lukasz Gottwald,https://www.youtube.com/watch?v=marAFsQo3VE
2020,12,I Hope,Gabby Barrett,Charlie Puth,/wiki/I_Hope_(Gabby_Barrett_song),2019,Country,Country pop,,3:30,Warner Music Nashville,1,Gabby Barrett,Zach Kale,https://www.youtube.com/watch?v=qcCH6JpcK5w
2020,13,Whats Poppin,Jack Harlow,"DaBaby, ",/wiki/Whats_Poppin,2020,Hip hop,,,2:19,Atlantic,1,Jackman Harlow,Tahj Morgan,https://www.youtube.com/watch?v=w9uWPBDHEKE
2020,14,Dance Monkey,Tones and I,,/wiki/Dance_Monkey,2019,Electropop,,,3:29,Elektra,1,Toni Watson,,https://www.youtube.com/watch?v=q0hyYWKXF0Q
2020,15,Savage,Megan Thee Stallion,Beyoncé,/wiki/Savage_(Megan_Thee_Stallion_song),2020,Hip hop,,,2:36,300,1,Megan Pete,Anthony White,https://www.youtube.com/watch?v=EOxj2ROIxok
2020,16,Roxanne,Arizona Zervas,,/wiki/Roxanne_(Arizona_Zervas_song),2019,Pop rap,,,2:43,Columbia,1,Arizona Zervas,Lauren Larue,https://www.youtube.com/watch?v=16YnOUnbE6s
2020,17,Intentions,Justin Bieber,Quavo,/wiki/Intentions_(Justin_Bieber_song),2020,Pop,R&b,,3:32,Def Jam,1,Justin Bieber,Quavious Marshall,https://www.youtube.com/watch?v=9p2wMpVVtXg
2020,18,Everything I Wanted,Billie Eilish,,/wiki/Everything_I_Wanted,2019,Pop,Alternative pop,,4:05,Interscope,1,Billie Eilish,Finneas O'Connell,https://www.youtube.com/watch?v=EgBJmlPo8Xw
2020,19,Roses (Imanbek Remix),Saint Jhn,,/wiki/Roses_(Saint_Jhn_song),2016,,,,2:53,Hitco,1,Carlos Phillips,Lee Stashenko,https://www.youtube.com/watch?v=XHA-QM-q-3E
2020,20,Watermelon Sugar,Harry Styles,,/wiki/Watermelon_Sugar,2020,Funk,Pop,Rock,2:54,Columbia,1,Harry Styles,Mitch Rowland,https://www.youtube.com/watch?v=E07s5ZYygMg
2020,21,Before You Go,Lewis Capaldi,,/wiki/Before_You_Go_(Lewis_Capaldi_song),2019,,,,3:35,Vertigo Berlin,2,Lewis Capaldi,Ben Kohn,https://www.youtube.com/watch?v=Jtauh8GcxBY
2020,22,Falling,Trevor Daniel,,/wiki/Falling_(Trevor_Daniel_song),2018,R&b,Hip hop,Alternative r&b,2:39,Alamo,4,Trevor Neill,Tristan Norton,https://www.youtube.com/watch?v=L7mfjvdnPno
2020,23,"10,000 Hours",Dan + Shay,Justin Bieber,"/wiki/10,000_Hours",2019,Country pop,,,2:47,Warner Nashville,1,Dan Smyers,Shay Mooney,https://www.youtube.com/watch?v=Y2E71oe0aSM
2020,24,WAP,Cardi B,Megan Thee Stallion,/wiki/WAP_(song),2020,Hip hop,Dirty rap,Trap,3:07,Atlantic,1,Cardi B,Megan Pete,https://www.youtube.com/watch?v=hsm4poTWjMs
2020,25,Ballin',Mustard,Roddy Ricch,/wiki/Ballin%27_(Mustard_song),2020,,,,3:00,Interscope,1,Dijon McFarlane,Rodrick Moore Jr.,https://www.youtube.com/watch?v=YS0h2-hy9rw
2020,26,Hot Girl Bummer,Blackbear,,/wiki/Hot_Girl_Bummer,2019,Alternative r&b,,,3:08,Interscope,1,Matthew Musto,Andrew Goldstein,https://www.youtube.com/watch?v=5cPW0ggFq04
2020,27,Blueberry Faygo,Lil Mosey,,/wiki/Blueberry_Faygo,2020,Pop rap,Trap,,2:42,Interscope,1,Lathan Echols,Johnny Gill Jr.,https://www.youtube.com/watch?v=V_jHc_n0p9c
2020,28,Heartless,The Weeknd,,/wiki/Heartless_(The_Weeknd_song),2019,R&b,Trap,,3:18,XO,2,Abel Tesfaye,Leland Wayne,https://www.youtube.com/watch?v=1DpH-icPpl0
